"Pathways","Count.significant","Count.background","p_value","p_adjust"
"ppa00250",16,26,0.0004208013855978,0.00598473081739093
"ppa00541",1,0,0,0
"ppa00650",8,11,0.00291278922497316,0.031069751733047
"ppa00710",12,17,0.000368427425248736,0.00589483880397978
"ppa01100",202,592,0.000608847893852342,0.00779325304130998
"ppa01110",105,266,3.85174968794588e-05,0.000704319942938676
"ppa01320",6,0,0,0
"ppa03460",3,0,0,0
"ppa04081",1,0,0,0
"ppa04142",3,0,0,0
"ppa04146",20,38,0.00136608096328103,0.015896214845452
"ppa05100",1,0,0,0
